id_OSM,LATITUD,LONGITUD,coord
node/3914658548,40.3588774,-3.6991687,"(40.358877399999997, -3.6991687)"
node/3914658549,40.3589603,-3.6993141,"(40.3589603, -3.6993141)"
node/3914658552,40.3591261,-3.6990548,"(40.359126099999997, -3.6990547999999999)"
node/3914658554,40.3592262,-3.6991883,"(40.359226200000002, -3.6991882999999999)"
node/3914658555,40.3592703,-3.6989724,"(40.359270299999999, -3.6989724000000002)"
node/3914658559,40.3594943,-3.698887,"(40.359494300000001, -3.698887)"
node/3914658560,40.359499,-3.6990674,"(40.359499, -3.6990674000000001)"
node/3914658564,40.3597986,-3.6989313,"(40.359798599999998, -3.6989312999999999)"
node/3914658566,40.359874,-3.6987405,"(40.359873999999998, -3.6987405)"
node/3914658569,40.3600701,-3.6988107,"(40.360070100000002, -3.6988107000000001)"
node/3914658570,40.3601383,-3.6986276,"(40.360138300000003, -3.6986276)"
node/3914658571,40.3602863,-3.6985676,"(40.360286299999999, -3.6985676000000001)"
node/3916514702,40.3530522,-3.7034532,"(40.3530522, -3.7034531999999998)"
node/3916514703,40.3531094,-3.7036545,"(40.353109400000001, -3.7036544999999998)"
node/3916514705,40.3532915,-3.7033512,"(40.353291499999997, -3.7033512000000002)"
node/3916514706,40.3533447,-3.7035525,"(40.353344700000001, -3.7035524999999998)"
node/3916514707,40.3535246,-3.7032411,"(40.3535246, -3.7032411000000001)"
node/3916514710,40.353584,-3.7034478,"(40.353583999999998, -3.7034478000000002)"
node/3916514716,40.3536385,-3.7016897,"(40.353638500000002, -3.7016897000000002)"
node/3916514723,40.3537323,-3.7017486,"(40.353732299999997, -3.7017486000000002)"
node/3916514728,40.3537701,-3.7031257,"(40.353770099999998, -3.7031257000000002)"
node/3916514729,40.3537703,-3.702065,"(40.353770300000001, -3.7020650000000002)"
node/3916514732,40.3537941,-3.7017215,"(40.353794100000002, -3.7017215000000001)"
node/3916514737,40.3538315,-3.7033324,"(40.353831499999998, -3.7033323999999999)"
node/3916514740,40.3538404,-3.7023459,"(40.353840400000003, -3.7023459000000001)"
node/3916514743,40.3538524,-3.7015931,"(40.353852400000001, -3.7015931000000002)"
node/3916514757,40.353912,-3.7019958,"(40.353912000000001, -3.7019958000000002)"
node/3916514767,40.3539887,-3.702289,"(40.353988700000002, -3.7022889999999999)"
node/3916514772,40.3540447,-3.7015059,"(40.354044700000003, -3.7015058999999999)"
node/3916514797,40.354295,-3.7013948,"(40.354295, -3.7013948000000001)"
node/3916514837,40.3545466,-3.7012848,"(40.354546599999999, -3.7012847999999998)"
node/3916514842,40.3545947,-3.7024108,"(40.3545947, -3.7024108)"
node/3916514851,40.3546441,-3.702742,"(40.354644100000002, -3.7027420000000002)"
node/3916514862,40.3546947,-3.7029375,"(40.354694700000003, -3.7029375)"
node/3916514871,40.3547605,-3.7023899,"(40.354760499999998, -3.7023899)"
node/3916514872,40.3547607,-3.7011937,"(40.3547607, -3.7011937000000001)"
node/3916514873,40.3547694,-3.7008452,"(40.354769400000002, -3.7008451999999998)"
node/3916514876,40.3547934,-3.7023219,"(40.354793399999998, -3.7023218999999998)"
node/3916514881,40.3548162,-3.7026044,"(40.354816200000002, -3.7026043999999998)"
node/3916514891,40.3548878,-3.7026281,"(40.3548878, -3.7026281000000001)"
node/3916514893,40.3548915,-3.7024506,"(40.354891500000001, -3.7024506000000001)"
node/3916514900,40.3549362,-3.7028236,"(40.354936199999997, -3.7028235999999999)"
node/3916514901,40.3549494,-3.7008398,"(40.354949400000002, -3.7008397999999998)"
node/3916514910,40.3549955,-3.7022525,"(40.354995500000001, -3.7022525000000002)"
node/3916514916,40.355021,-3.7010787,"(40.355021000000001, -3.7010787000000001)"
node/3916514929,40.3551249,-3.7025199,"(40.3551249, -3.7025199)"
node/3916514938,40.3551734,-3.702722,"(40.355173399999998, -3.7027220000000001)"
node/3916514942,40.3551851,-3.70215,"(40.3551851, -3.7021500000000001)"
node/3916515068,40.3553614,-3.7024136,"(40.3553614, -3.7024135999999999)"
node/3916515069,40.3553757,-3.7020566,"(40.355375700000003, -3.7020566000000001)"
node/3916515072,40.3554039,-3.7020979,"(40.355403899999999, -3.7020979000000001)"
node/3916515074,40.3554113,-3.702611,"(40.3554113, -3.7026110000000001)"
node/3916515082,40.3554543,-3.7023196,"(40.355454299999998, -3.7023196)"
node/3916515093,40.3555296,-3.7021629,"(40.355529599999997, -3.7021628999999998)"
node/3920327167,40.3525376,-3.7034001,"(40.352537599999998, -3.7034001000000001)"
node/3920327172,40.3525879,-3.7036209,"(40.352587900000003, -3.7036209000000002)"
node/3920327177,40.3526508,-3.7034671,"(40.352650799999999, -3.7034671000000001)"
node/3920327185,40.3528179,-3.7032224,"(40.352817899999998, -3.7032224)"
node/3920327196,40.3529982,-3.7031345,"(40.352998200000002, -3.7031345)"
node/3920327208,40.353164,-3.7031136,"(40.353164, -3.7031136)"
node/3920327211,40.3531969,-3.7030456,"(40.3531969, -3.7030455999999998)"
node/3920327215,40.3532257,-3.7033305,"(40.353225700000003, -3.7033304999999999)"
node/3920327221,40.353295,-3.7031743,"(40.353295000000003, -3.7031743000000001)"
node/3920327226,40.353399,-3.7029762,"(40.353399000000003, -3.7029762000000002)"
node/3920327239,40.3535886,-3.7028737,"(40.353588600000002, -3.7028737)"
node/3920327388,40.3544132,-3.7024974,"(40.354413200000003, -3.7024973999999999)"
node/3927135651,40.3565158,-3.7002809,"(40.356515799999997, -3.7002809000000001)"
node/3927136670,40.3570923,-3.7000261,"(40.357092299999998, -3.7000261000000001)"
node/3927136678,40.3572371,-3.6999567,"(40.357237099999999, -3.6999567)"
node/3927136688,40.3574246,-3.699872,"(40.357424600000002, -3.699872)"
node/3927136699,40.3576326,-3.6997828,"(40.357632600000002, -3.6997827999999999)"
node/3927136706,40.3577751,-3.699707,"(40.357775099999998, -3.6997070000000001)"
node/3927136716,40.3579416,-3.6996391,"(40.357941599999997, -3.6996391000000002)"
node/3927136725,40.3580977,-3.6995742,"(40.358097700000002, -3.6995741999999998)"
node/3927136737,40.3582732,-3.6994925,"(40.358273199999999, -3.6994924999999999)"
node/3927136744,40.3584554,-3.699394,"(40.358455399999997, -3.6993939999999998)"
node/3932043544,40.4392259,-3.5596336,"(40.439225899999997, -3.5596336000000002)"
node/3932043545,40.4393949,-3.5592587,"(40.439394900000003, -3.5592587)"
node/3932043546,40.4394766,-3.5588347,"(40.439476599999999, -3.5588346999999998)"
node/3932043547,40.4395528,-3.5584143,"(40.439552800000001, -3.5584142999999999)"
node/3932043548,40.4395736,-3.5594279,"(40.439573600000003, -3.5594279000000002)"
node/3932043549,40.4395832,-3.5590476,"(40.439583200000001, -3.5590476)"
node/3932043550,40.4396248,-3.5585326,"(40.439624799999997, -3.5585325999999999)"
node/3932043551,40.4396359,-3.5579921,"(40.439635899999999, -3.5579920999999999)"
node/3932043556,40.4397508,-3.5575353,"(40.439750799999999, -3.5575353000000001)"
node/3932044958,40.4398048,-3.5594209,"(40.439804799999997, -3.5594209000000001)"
node/3932044961,40.439888,-3.5570585,"(40.439888000000003, -3.5570585000000001)"
node/3932044968,40.4399918,-3.5566927,"(40.439991800000001, -3.5566927000000002)"
node/3932044969,40.4400364,-3.5576336,"(40.440036399999997, -3.5576336)"
node/3932044975,40.4401276,-3.5563488,"(40.440127599999997, -3.5563487999999999)"
node/3932044976,40.4401543,-3.557184,"(40.440154300000003, -3.5571839999999999)"
node/3932044980,40.4402559,-3.5568516,"(40.440255899999997, -3.5568515999999999)"
node/3932044981,40.4402758,-3.5560048,"(40.440275800000002, -3.5560048000000002)"
node/3932044984,40.4403652,-3.5565027,"(40.440365200000002, -3.5565026999999998)"
node/3932044987,40.4404254,-3.5556918,"(40.440425400000002, -3.5556918)"
node/3932044989,40.4404946,-3.556179,"(40.440494600000001, -3.5561790000000002)"
