id,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,DISTRITO,BARRIO,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,coord
30702,1596698114,9.382794139503444,40.4328236,-3.7014841,"(40.432823599999999, -3.7014841000000001)",CHAMBERÍ,TRAFALGAR,MU-17,"440509,586","4476030,44",-3.701383113861084,40.43278884887695,"(40.432789, -3.7013831)"
16909,1596698114,8.22841714549905,40.4328236,-3.7014841,"(40.432823599999999, -3.7014841000000001)",CHAMBERÍ,TRAFALGAR,MU-17,"440499,5861","4476026,44",-3.701500654220581,40.4327507019043,"(40.432751, -3.7015007)"
40478,1596698114,7.533601425965227,40.4328236,-3.7014841,"(40.432823599999999, -3.7014841000000001)",CHAMBERÍ,TRAFALGAR,MU-17,"440505,586","4476028,44",-3.701430082321167,40.432769775390625,"(40.43277, -3.7014301)"
49052,1596698114,9.64382828295285,40.4328236,-3.7014841,"(40.432823599999999, -3.7014841000000001)",CHAMBERÍ,TRAFALGAR,MU-17,"440508,586","4476028,44",-3.70139479637146,40.432769775390625,"(40.43277, -3.7013948)"
25865,1623075032,9.372674101478053,40.4108251,-3.6936063,"(40.410825099999997, -3.6936062999999999)",CENTRO,CORTES,BA-45,"441147,5754","4473578,431",-3.6936349868774414,40.410743713378906,"(40.410744, -3.693635)"
24245,1623075032,9.637454486586286,40.4108251,-3.6936063,"(40.410825099999997, -3.6936062999999999)",CENTRO,CORTES,BA-45,"441143,5754","4473594,431",-3.693683624267578,40.410888671875,"(40.410889, -3.6936836)"
29085,1623075032,9.462118510884864,40.4108251,-3.6936063,"(40.410825099999997, -3.6936062999999999)",CENTRO,CORTES,BA-45,"441141,5754","4473591,431",-3.69370698928833,40.41086196899414,"(40.410862, -3.693707)"
56665,1634750486,8.50462765356036,40.4117798,-3.7112126,"(40.411779799999998, -3.7112126000000001)",CENTRO,PALACIO,MU-16,"439665,5847","4473704,443",-3.7111124992370605,40.411773681640625,"(40.411774, -3.7111125)"
8882,1634750486,9.520478660618862,40.4117798,-3.7112126,"(40.411779799999998, -3.7112126000000001)",CENTRO,PALACIO,MU-16,"439665,5847","4473709,443",-3.7111129760742188,40.41181945800781,"(40.411819, -3.711113)"
58987,1728461411,5.525772473168601,40.4535774,-3.6971584,"(40.4535774, -3.6971584000000002)",TETUÁN,CUATRO CAMINOS,MU-16,"440883,5926","4478330,442",-3.697188138961792,40.45353317260742,"(40.453533, -3.6971881)"
50276,1728461411,6.32061827097583,40.4535774,-3.6971584,"(40.4535774, -3.6971584000000002)",TETUÁN,CUATRO CAMINOS,MU-16,"440884,5927","4478341,442",-3.6971774101257324,40.45363235473633,"(40.453632, -3.6971774)"
15197,1728461423,5.655163862946816,40.4535804,-3.6972342,"(40.4535804, -3.6972342)",TETUÁN,CUATRO CAMINOS,MU-16,"440877,5926","4478330,442",-3.697258949279785,40.45353317260742,"(40.453533, -3.6972589)"
63675,1728461427,6.353954977755291,40.4537055,-3.697224,"(40.453705499999998, -3.6972239999999998)",TETUÁN,CUATRO CAMINOS,MU-16,"440878,5927","4478343,442",-3.6972482204437256,40.453651428222656,"(40.453651, -3.6972482)"
31538,1728461566,6.408842174149899,40.455558,-3.6971938,"(40.455558000000003, -3.6971938)",TETUÁN,CUATRO CAMINOS,MU-16,"440881,8138","4478560,643",-3.697230577468872,40.45560836791992,"(40.455608, -3.6972306)"
