CODIGO,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,ZONA VERDE / VIA PUBLICA,DISTRITO,DIRECCION,COMPLEMENTO DE DIRECCIÓN ,COORD. X,COORD. Y,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA DATOS,LONGITUD,LATITUD,coord
FB_000043,3973699909,11.98636378063842,40.4466327,-3.6299745,"(40.446632700000002, -3.6299744999999999)",ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA URBANA,FUENTE DE LOS TENIS (JUNTO INSTALACIONES DEPORTIVAS),"437594,6851","4474694,974",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7356157302856445,40.4205436706543,"(40.420544, -3.7356157)"
FB_000043,3973699909,11.98636378063842,40.4466327,-3.6299745,"(40.446632700000002, -3.6299744999999999)",ZV,SAN BLAS,QUINTA DE LOS MOLINOS,CIPRESES ,"446569,84","4477512,41",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6300628185272217,40.44654846191406,"(40.446548, -3.6300628)"
FB_000045,1052390720,11.074614657082504,40.4248716,-3.7335291,"(40.424871600000003, -3.7335291000000002)",ZV,SALAMANCA,QUINTA DE LA FUENTE DEL BERRO,A. 6 · JARDÍN DE LA RÍA,"443797,62","4474929,31",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.662523031234741,40.423095703125,"(40.423096, -3.662523)"
FB_000045,1052390720,11.074614657082504,40.4248716,-3.7335291,"(40.424871600000003, -3.7335291000000002)",ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA URBANA,FUENTE DE LA GLORIETA DE LAS MORERAS,"437770,815","4475163,962",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7335855960845947,40.424781799316406,"(40.424782, -3.7335856)"
FB_000061,4403559003,17.02600899319763,40.4338592,-3.7458415,"(40.433859200000001, -3.7458415)",ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA FORESTAL,FUENTE DEL ESTANQUE DEL REPARTIDOR,"436756,5968","4476178,079",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7456417083740234,40.433841705322266,"(40.433842, -3.7456417)"
FB_000096,4332355414,15.355057867884796,40.4337568,-3.7420786,"(40.433756799999998, -3.7420786000000001)",ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA FORESTAL,FUENTE DE LA SUBESTACIÓN,"437067,9674","4476154,004",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7419683933258057,40.43364715576172,"(40.433647, -3.7419684)"
FB_100004,4254265573,10.38555818119916,40.3748395,-3.6872113,"(40.3748395, -3.6872113)",ZV,USERA,PARQUE LINEAL DEL MANZANAREES,08 · PRADERA-ESTANQUE (B.05),"441665,2","4469579,1",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6871683597564697,40.374752044677734,"(40.374752, -3.6871684)"
FB_900015,1284090035,11.23308409631167,40.405036,-3.7230677,"(40.405036000000003, -3.7230677000000001)",ZV,LATINA,MADRID RIO,Z.09. - SALON DE PINOS - PUENTE DE SEGOVIA,"438633,9","4472963,8",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7231996059417725,40.405025482177734,"(40.405025, -3.7231996)"
FB_900063,1284089807,15.109437946777259,40.3861099,-3.6963637,"(40.386109900000001, -3.6963637)",ZV,USERA,MADRID RÍO,Z.27. - VADO - PARQUE LINEAL DEL MANZANARES,"440907,9","4470838,6",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6962053775787354,40.38604736328125,"(40.386047, -3.6962054)"
FUE_01-01_0000000004,4237288297,15.255517742356638,40.4254296,-3.6922473,"(40.425429600000001, -3.6922473)",ZV,CENTRO,PLAZA VILLA DE PARIS,PLAZA VILLA DE PARIS,"441281,789","4475192,9",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.69220232963562,40.425296783447266,"(40.425297, -3.6922023)"
