CODIGO,ZV-VP,DISTRITO,DIRECCION,COMP-DIR,X_ETRS89,Y_ETRS89,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
FUE_06-17_0000000120,VP,VILLAVERDE,AV .DE LOS ROSALES  131,,442425.6818,4467013.953,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6779792,40.3516975,No match,,,"(None, None)",,4503595.316653625,"('40.3516975', '-3.6779792')"
FUE_05-18_0000000050,ZV,VILLA DE VALLECAS,ENTREPEÑAS    71,,448221.3061,4468529.515,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6098583,40.3657308,No match,,,"(None, None)",,4504583.626487699,"('40.3657308', '-3.6098583')"
FUE_06-12_0000000065,VP,USERA,BEASAIN 39 - 45  ,,439239.9878,4468753.572,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7156559,40.367143,No match,,,"(None, None)",,4505621.801938844,"('40.367143', '-3.7156559')"
FUE_05-18_0000000052,ZV,VILLA DE VALLECAS,PROVISIONAL ATALAYUELA  TRES,,445828.8248,4468761.782,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6380556,40.3676711,No match,,,"(None, None)",,4505030.974897051,"('40.3676711', '-3.6380556')"
FUE_03-10_0000000038,ZV,LATINA,Z.A. PAU CARABANCHEL - UNIDAD III,,435078.29,4468924.45,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7646875,40.3683686,No match,,,"(None, None)",,4506174.685737414,"('40.3683686', '-3.7646875')"
FUE_06-12_0000000060,ZV,USERA,PZA. ASOCIACION MESETA DE ORCASITAS,,439884.1619,4469010.373,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7080934,40.369503,No match,,,"(None, None)",,4505819.117532941,"('40.369503', '-3.7080934')"
FUE_05-13_0000000082,ZV,PUENTE VALLECAS,PARQUE GARRRIGUES WALKER,,443876.2747,4469002.731,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6610735,40.3697126,No match,,,"(None, None)",,4505448.111954439,"('40.3697126', '-3.6610735')"
FUE_05-18_0000000051,ZV,VILLA DE VALLECAS,AV.MAYORAZGO 20,,446301.7611,4468999.448,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6325054,40.3698428,No match,,,"(None, None)",,4505225.456561196,"('40.3698428', '-3.6325054')"
FUE_05-18_0000000047,VP,VILLA DE VALLECAS,AV. DE LA GAVIA  40,,447952.8408,4469208.404,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6130756,40.3718299,No match,,,"(None, None)",,4505285.250812283,"('40.3718299', '-3.6130756')"
FUE_06-12_0000000068,ZV,USERA,PLAZA ZAPOTA,,438991.5763,4469282.162,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7186322,40.3718866,No match,,,"(None, None)",,4506171.952242698,"('40.3718866', '-3.7186322')"
FUE_03-10_0000000107,ZV,LATINA,PZA. VIRGEN DE LOS LLANOS Nº 1,,433819.7559,4469948.818,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7796163,40.3774976,No match,,,"(None, None)",,4507312.948584485,"('40.3774976', '-3.7796163')"
FUE_05-18_0000000049,VP,VILLA DE VALLECAS,PICO  MANPODRE 21,,447332.8791,4469847.63,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6204307,40.3775496,No match,,,"(None, None)",,4505978.949801832,"('40.3775496', '-3.6204307')"
FUE_05-13_0000000150,VP,PUENTE VALLECAS,PLAZA DEL CINE  S/N,,444463.8469,4470079.468,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6542467,40.3794519,No match,,,"(None, None)",,4506469.332305948,"('40.3794519', '-3.6542467')"
FUE_05-13_0000000151,ZV,PUENTE VALLECAS,PLAZA DE SAN DIEGO,C/ JAVIER DE MIGUEL 126,444507.0049,4470657.362,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6537887,40.3846607,No match,,,"(None, None)",,4507042.087014082,"('40.3846607', '-3.6537887')"
FUE_06-12_0000000066,VP,USERA,SAN NICOMEDES  12,,439406.215,4470960.593,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.713908,40.387037,No match,,,"(None, None)",,4507808.737590115,"('40.387037', '-3.713908')"
FUE_06-11_0000000126,ZV,CARABANCHEL,GUADALETE  11 - 13,,439287.5989,4471149.258,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7153234,40.388728,No match,,,"(None, None)",,4508007.838860012,"('40.388728', '-3.7153234')"
FUE_06-11_0000000019,ZV,CARABANCHEL,PZA. BLANDON - CONDOR - AMISTAD,,437259.7306,4471254.027,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7392246,40.3895216,No match,,,"(None, None)",,4508298.213540161,"('40.3895216', '-3.7392246')"
FUE_05-13_0000000152,VP,PUENTE VALLECAS,AV. SAN DIEGO C/V GARCÍA LLAMAS ,,443336.9114,4471250.454,ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.667626,40.3899249,No match,,,"(None, None)",,4507739.96136636,"('40.3899249', '-3.667626')"
