CODIGO,ZV-VP,DISTRITO,DIRECCION,COMP-DIR,X_ETRS89,Y_ETRS89,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
FUE_04-15_0000000036,ZV,CIUDAD LINEAL,PINAR DE CHAMARTIN,"CALERUEGA, 32",443249.0534,4481380.15,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6695657,40.4811724,307782191,40.4812719,-3.669598,"(40.481271900000003, -3.6695980000000001)",,11.39938131068881,"('40.4811724', '-3.6695657')"
FUE_03-08_0000000042,ZV,FUENCARRAL-EL PARDO,BETANZOS - FERMIN CABALLERO,AVDA. DE BETANZOS  Nº60,439508.1466,4481410.69,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7137018,40.4811834,1851695655,40.4812269,-3.7137248,"(40.481226900000003, -3.7137248)",,5.21495575271934,"('40.4811834', '-3.7137018')"
FUE_04-15_0000000035,ZV,CIUDAD LINEAL,PINAR DE CHAMARTIN,"CALERUEGA, 112",443312.7554,4481408.649,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6688167,40.4814335,307782194,40.4814665,-3.6687648,"(40.481466500000003, -3.6687647999999999)",,5.722861618332214,"('40.4814335', '-3.6688167')"
FUE_03-08_0000000130,ZV,FUENCARRAL-EL PARDO,PZA. - C/ ISLA AROSA C/ FERMIN CABALLERO,C/ISLA DE AROSA  Nº20,439295.6311,4481446.963,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7162125,40.4814946,1893858195,40.4814234,-3.7161879,"(40.481423399999997, -3.7161879)",,8.188207193196058,"('40.4814946', '-3.7162125')"
FUE_04-15_0000000037,ZV,CIUDAD LINEAL,PINAR DE CHAMARTIN,"BRIVIESCA, 5",443441.0853,4481457.136,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.667307,40.481879,307782198,40.4818256,-3.667237,"(40.481825600000001, -3.6672370000000001)",,8.387342676907565,"('40.481879', '-3.667307')"
FUE_03-08_0000000041,ZV,FUENCARRAL-EL PARDO,PZA. DE LA CAROLINA,,439377.8222,4481512.742,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7152491,40.4820932,1893858187,40.4820048,-3.7153645,"(40.482004799999999, -3.7153645000000002)",,13.855993577070814,"('40.4820932', '-3.7152491')"
FUE_04-16_0000000116,ZV,HORTALEZA,PARQUE EN C/ INFANTA CATALINA MICAELA,"INFANTA CATALINA MICAELA, 3",444213.0815,4481873.245,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6582359,40.4856798,4210986249,40.4856629,-3.6581509,"(40.485662900000001, -3.6581508999999999)",,7.432222965781903,"('40.4856798', '-3.6582359')"
FB_000089,ZV,HORTALEZA,PARQUE FORESTAL DE VALDEBEBAS-PARQUE FELIPE VI,,446989.4416,4482122.241,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6255001,40.4881047,3577606822,40.4881568,-3.6254753,"(40.488156799999999, -3.6254753000000002)",,6.162940882129435,"('40.4881047', '-3.6255001')"
FB_000088,ZV,HORTALEZA,PARQUE FORESTAL DE VALDEBEBAS-PARQUE FELIPE VI,,447085.8489,4482250.897,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6243733,40.4892699,3577606884,40.4893154,-3.6243316,"(40.489315400000002, -3.6243316000000001)",,6.16882422577197,"('40.4892699', '-3.6243733')"
FUE_04-16_0000000142,ZV,HORTALEZA,PARQUE INFANTA CATALINA MICAELA,"PRINCIPE CARLOS, 13",444749.6123,4482284.494,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6519416,40.4894203,4253379167,40.4893676,-3.6519762,"(40.489367600000001, -3.6519762)",,6.551714958815735,"('40.4894203', '-3.6519416')"
FB_000086,ZV,HORTALEZA,PARQUE FORESTAL DE VALDEBEBAS-PARQUE FELIPE VI,,446769.075,4482311.638,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.628116,40.4897968,3577606918,40.4898558,-3.6280939,"(40.489855800000001, -3.6280939000000001)",,6.823431825871899,"('40.4897968', '-3.628116')"
FB_000085,ZV,HORTALEZA,PARQUE FORESTAL DE VALDEBEBAS-PARQUE FELIPE VI,,446384.5321,4482383.316,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6326594,40.4904178,3577606962,40.4904548,-3.6326215,"(40.490454800000002, -3.6326214999999999)",,5.216729338246798,"('40.4904178', '-3.6326594')"
FUE_03-08_0000000097,ZV,FUENCARRAL-EL PARDO,PARQUE ARROYO FRESNO,AVDA.ARRROYOFRESNO C/V SENDA DEL INFANTE,438733.2897,4482607.487,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7229588,40.4919077,309412301,40.4918554,-3.7229501,"(40.491855399999999, -3.7229500999999998)",,5.863497375228865,"('40.4919077', '-3.7229588')"
FUE_04-16_0000000146,ZV,HORTALEZA,PARQUE MARIA TUDOR,"MARIA TUDOR, 14",444042.6202,4482870.507,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6603351,40.494652,4214295911,40.4945969,-3.6604199,"(40.494596899999998, -3.6604198999999999)",,9.43435994171444,"('40.494652', '-3.6603351')"
FB_000084,ZV,HORTALEZA,PARQUE FORESTAL DE VALDEBEBAS-PARQUE FELIPE VI,,446749.788,4482875.658,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.628391,40.4948766,3577607051,40.4949048,-3.6283411,"(40.4949048, -3.6283411000000001)",,5.258574559826998,"('40.4948766', '-3.628391')"
FB_000080,ZV,HORTALEZA,PARQUE FORESTAL DE VALDEBEBAS-PARQUE FELIPE VI,,446929.5629,4483122.218,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6262903,40.4971092,3533873126,40.4971581,-3.6262801,"(40.4971581, -3.6262800999999998)",,5.506961025848941,"('40.4971092', '-3.6262903')"
FUE_03-08_0000000009,ZV,FUENCARRAL-EL PARDO,A.V.C. LAS TABLAS,C/PALAS DE REY Nº5,443952.9451,4483781.233,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6614738,40.5028501,309542785,40.5028865,-3.6614202,"(40.502886500000002, -3.6614201999999998)",,6.077894503516976,"('40.5028501', '-3.6614738')"
FUE_03-08_0000000004,ZV,FUENCARRAL-EL PARDO,"AVDA MONTECARMELO, 10 ",DETRÁS DEL CEMENTERIO,440420.3714,4484468.585,ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.7032275,40.508796,309541570,40.5089403,-3.7033474,"(40.508940299999999, -3.7033474000000002)",,18.98445128981622,"('40.508796', '-3.7032275')"
FUE_03-08_0000000003,ZV,FUENCARRAL-EL PARDO,A.V.C. LAS TABLAS,,443432.2386,4484851.356,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6677145,40.512455,3999057370,40.512484,-3.6678101,"(40.512484000000001, -3.6678101000000001)",,8.70381574760625,"('40.512455', '-3.6677145')"
FUE_03-08_0000000012,ZV,FUENCARRAL-EL PARDO,PARQUE DEL PUEBLO DE EL PARDO,,434446.8682,4485509.632,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7738356,40.5177233,1065410258,40.5177233,-3.7737616,"(40.5177233, -3.7737615999999998)",,6.257052192800003,"('40.5177233', '-3.7738356')"
