DISTRITO,BARRIO,DIRECCION,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
ARGANZUELA,ACACIAS,"CALLE DE SAN ISIDORO DE SEVILLA,21",50_LTS,439873.1426,4472790.99,-3.7085800170898438,40.403560638427734,node/3908009018,40.4035759,-3.7082863,"(40.4035759, -3.7082863000000001)",,24.93526189095224,"(40.4035759, -3.7082863000000001)"
ARGANZUELA,ACACIAS,"CALLE DEL GASOMETRO,12G",50_LTS,439905.4324,4472796.281,-3.708199977874756,40.40361022949219,node/3908009018,40.4035759,-3.7082863,"(40.4035759, -3.7082863000000001)",,8.248374024413502,"(40.4035759, -3.7082863000000001)"
ARGANZUELA,ACACIAS,"PASEO DE LAS ACACIAS,24",50_LTS,439935.1765,4472801.593,-3.7078499794006348,40.40365982055664,node/3908009018,40.4035759,-3.7082863,"(40.4035759, -3.7082863000000001)",,38.11627695545638,"(40.4035759, -3.7082863000000001)"
ARGANZUELA,ACACIAS,"CALLE DEL GASOMETRO,12G",50_LTS,439917.3567,4472801.736,-3.7080600261688232,40.40365982055664,node/3908009018,40.4035759,-3.7082863,"(40.4035759, -3.7082863000000001)",,21.3172707620619,"(40.4035759, -3.7082863000000001)"
LATINA,LUCERO,"CALLE DE SAN JUAN DE MATA,4",50_LTS,435854.4955,4472840.932,-3.7559399604797363,40.403709411621094,node/2631199031,40.4038644,-3.7562714,"(40.403864400000003, -3.7562714000000001)",,32.94287255699037,"(40.403864400000003, -3.7562714000000001)"
LATINA,LUCERO,"CALLE DE SAN JUAN DE MATA,5",50_LTS_EX,435787.4687,4472842.616,-3.756730079650879,40.40372085571289,node/2631199031,40.4038644,-3.7562714,"(40.403864400000003, -3.7562714000000001)",,42.002190045298846,"(40.403864400000003, -3.7562714000000001)"
ARGANZUELA,ACACIAS,"CALLE DE SAN ISIDORO DE SEVILLA,21",50_LTS,439860.5833,4472812.182,-3.7087299823760986,40.403751373291016,node/3908009018,40.4035759,-3.7082863,"(40.4035759, -3.7082863000000001)",,42.34524001000433,"(40.4035759, -3.7082863000000001)"
LATINA,LUCERO,,MU-12C,436150.6158,4472844.562,-3.752450942993164,40.40376663208008,node/2133152102,40.4036915,-3.7527988,"(40.403691500000001, -3.7527987999999999)",,30.625109754308394,"(40.403691500000001, -3.7527987999999999)"
LATINA,LUCERO,"CALLE DE SAN JUAN DE MATA,4A",50_LTS,435819.8565,4472858.99,-3.756350040435791,40.40386962890625,node/2631199031,40.4038644,-3.7562714,"(40.403864400000003, -3.7562714000000001)",,6.686045633210236,"(40.403864400000003, -3.7562714000000001)"
LATINA,LUCERO,"CALLE DE SAN JUAN DE MATA,4",50_LTS,435858.0416,4472858.663,-3.7558999061584473,40.40386962890625,node/2631199031,40.4038644,-3.7562714,"(40.403864400000003, -3.7562714000000001)",,31.470230043708394,"(40.403864400000003, -3.7562714000000001)"
