id,id_OSM,distance,lat_OSM,lon_OSM,coord_OSM,DISTRITO,BARRIO,DIRECCION,MODELO,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,coord
10425,1252641375,44.510934315421906,40.4735736,-3.6482154,"(40.473573600000002, -3.6482154000000002)",HORTALEZA,PINAR DEL REY,FRENTE FACHADA,MU-11B,"445063,4606","4480480,238",-3.6480820178985596,40.47318649291992,"(40.473186, -3.648082)"
7351,1252641375,45.57558343947751,40.4735736,-3.6482154,"(40.473573600000002, -3.6482154000000002)",HORTALEZA,PINAR DEL REY,"CALLE DEL MAR CASPIO,1",50_LTS,"445015,4366","4480496,403",-3.6486499309539795,40.473331451416016,"(40.473331, -3.6486499)"
182,1252641375,39.41730970119342,40.4735736,-3.6482154,"(40.473573600000002, -3.6482154000000002)",HORTALEZA,PINAR DEL REY,PORTAL,MU-11B,"445022,0003","4480548,28",-3.6485772132873535,40.47379684448242,"(40.473797, -3.6485772)"
56151,1252641375,45.64667522727774,40.4735736,-3.6482154,"(40.473573600000002, -3.6482154000000002)",HORTALEZA,PINAR DEL REY,"CALLE DEL MAR CASPIO,7",50_LTS,"445096,9363","4480512,456",-3.6476900577545166,40.473480224609375,"(40.47348, -3.6476901)"
50929,1252641375,22.72871002259031,40.4735736,-3.6482154,"(40.473573600000002, -3.6482154000000002)",HORTALEZA,PINAR DEL REY,"CALLE DEL MAR CASPIO,2",50_LTS,"445053,615","4480500,563",-3.6481997966766357,40.47336959838867,"(40.47337, -3.6481998)"
56960,1252641375,41.855145874605036,40.4735736,-3.6482154,"(40.473573600000002, -3.6482154000000002)",HORTALEZA,PINAR DEL REY,FRENTE FACHADA,MU-11B,"445090,7777","4480506,104",-3.6477620601654053,40.47342300415039,"(40.473423, -3.6477621)"
83763,1252641375,5.653782164742311,40.4735736,-3.6482154,"(40.473573600000002, -3.6482154000000002)",HORTALEZA,PINAR DEL REY,"CALLE DEL MAR CASPIO,3",50_LTS_EX,"445046,9884","4480521,703",-3.648279905319214,40.47356033325195,"(40.47356, -3.6482799)"
65850,1443235073,37.18032623798751,40.4490681,-3.7287216,"(40.449068099999998, -3.7287216000000001)",MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,"PLAZA DE MENENDEZ PELAYO,1",50_LTS,"438173,4261","4477837,884",-3.729099988937378,40.44889831542969,"(40.448898, -3.7291)"
64284,1443235073,9.040246048726221,40.4490681,-3.7287216,"(40.449068099999998, -3.7287216000000001)",MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,,MU-14B,"438214,6189","4477857,559",-3.728616237640381,40.44908142089844,"(40.449081, -3.7286162)"
48231,1443235073,31.85183803196008,40.4490681,-3.7287216,"(40.449068099999998, -3.7287216000000001)",MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,"PLAZA DE MENENDEZ PELAYO,1",50_LTS,"438187,7778","4477829,995",-3.7289299964904785,40.448829650878906,"(40.44883, -3.72893)"
85631,1443235073,36.35977500719998,40.4490681,-3.7287216,"(40.449068099999998, -3.7287216000000001)",MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,"PLAZA DE MENENDEZ PELAYO,1",50_LTS,"438181,4337","4477883,331",-3.7290101051330566,40.449310302734375,"(40.44931, -3.7290101)"
89451,2133152102,30.625109754308394,40.4036915,-3.7527988,"(40.403691500000001, -3.7527987999999999)",LATINA,LUCERO,,MU-12C,"436150,6158","4472844,562",-3.752450942993164,40.40376663208008,"(40.403767, -3.7524509)"
65589,2133152105,44.41485769665503,40.4046315,-3.7513842,"(40.404631500000001, -3.7513841999999999)",LATINA,LUCERO,"CALLE DE VILLAMANIN,66",50_LTS,"436224,837","4472980,974",-3.7515900135040283,40.404998779296875,"(40.404999, -3.75159)"
50817,2133152105,24.33355250154288,40.4046315,-3.7513842,"(40.404631500000001, -3.7513841999999999)",LATINA,LUCERO,"CALLE DE VILLAMANIN,66",50_LTS,"436243,3634","4472964,165",-3.7513699531555176,40.404850006103516,"(40.40485, -3.75137)"
7398,2133152105,18.79684069848987,40.4046315,-3.7513842,"(40.404631500000001, -3.7513841999999999)",LATINA,LUCERO,"CALLE DE LA CARLINA,8",50_LTS,"436252,3578","4472924,126",-3.7512600421905518,40.40449142456055,"(40.404491, -3.75126)"
88629,2631199031,39.690531572024476,40.4038644,-3.7562714,"(40.403864400000003, -3.7562714000000001)",LATINA,LUCERO,"CALLE DE SAN JUAN DE MATA,8",50_LTS,"435824,4317","4472897,803",-3.7562999725341797,40.40422058105469,"(40.404221, -3.7563)"
27421,2631199031,31.470230043708394,40.4038644,-3.7562714,"(40.403864400000003, -3.7562714000000001)",LATINA,LUCERO,"CALLE DE SAN JUAN DE MATA,4",50_LTS,"435858,0416","4472858,663",-3.7558999061584473,40.40386962890625,"(40.40387, -3.7558999)"
85384,2631199031,6.686045633210236,40.4038644,-3.7562714,"(40.403864400000003, -3.7562714000000001)",LATINA,LUCERO,"CALLE DE SAN JUAN DE MATA,4A",50_LTS,"435819,8565","4472858,99",-3.756350040435791,40.40386962890625,"(40.40387, -3.75635)"
60198,2631199031,42.002190045298846,40.4038644,-3.7562714,"(40.403864400000003, -3.7562714000000001)",LATINA,LUCERO,"CALLE DE SAN JUAN DE MATA,5",50_LTS_EX,"435787,4687","4472842,616",-3.756730079650879,40.40372085571289,"(40.403721, -3.7567301)"
56892,2631199031,32.94287255699037,40.4038644,-3.7562714,"(40.403864400000003, -3.7562714000000001)",LATINA,LUCERO,"CALLE DE SAN JUAN DE MATA,4",50_LTS,"435854,4955","4472840,932",-3.7559399604797363,40.403709411621094,"(40.403709, -3.75594)"
67718,2757304258,15.989545679021042,40.4384713,-3.6551845,"(40.438471300000003, -3.6551844999999998)",CIUDAD LINEAL,SAN PASCUAL,"CALLE DE LOS DERECHOS HUMANOS,4B",50_LTS,"444436,4652","4476615,461",-3.655139923095703,40.438331604003906,"(40.438332, -3.6551399)"
