id,CODIGO,ZONA VERDE / VIA PUBLICA,DISTRITO,DIRECCION,COMPLEMENTO DE DIRECCIÓN ,COORD. X,COORD. Y,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA DATOS,LONGITUD,LATITUD,coord
31,FUE_01-01_0000000042,VP,CENTRO,PLAZA SANTA MARÍA SOLEDAD TORRES ACOSTA,"FRENTE A CALLE LUNA, 8","440151,64","4474817,1",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.705488681793213,40.42183303833008,"(40.421833, -3.7054887)"
530,FUE_03-09_0000000094,ZV,MONCLOA-ARAVACA,Pº ANICETO MARINAS,C/ANICETO MARINAS 36,"438494,1692","4475050,164",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.725048065185547,40.42380905151367,"(40.423809, -3.7250481)"
546,FUE_03-09_0000000119,VP,MONCLOA-ARAVACA,C/ RIBERA DE MANZANARES FRENTE AL Nº 123,FUENTE DE LA COLONIA MANZANARES  (FUENTE DE LA TEJA Y EL SOPAPO),"437633,69","4475220,96",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7352075576782227,40.42528533935547,"(40.425285, -3.7352076)"
34,FUE_01-01_0000000045,ZV,CENTRO,JARDINES ARQUITECTO RIBERA,JUNTO ZONA INFANTIL,440651.51,4475261.61,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6996383666992188,40.425872802734375,"(40.425873, -3.6996384)"
452,FUE_01-09_0000000006,VP,MONCLOA-ARAVACA,PASEO DE PINTOR ROSALES Nº 16,ESQ C/ REY FRANCISCO,439045.75,4475290.37,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.71856951713562,40.4260139465332,"(40.426014, -3.7185695)"
1496,FUE_04-20_0000000103,ZV,SAN BLAS,PARQUE PARAISO,AVD ARCENTALES 7 ,446999.10,4475323.66,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6248183250427246,40.42686080932617,"(40.426861, -3.6248183)"
1089,FUE_04-15_0000000121,VP,CIUDAD LINEAL,C/ LUIS RUIZ 48,EN TRAMO PEATONAL GREGORIO DONAS,445919.23,4475595.46,ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.637571096420288,40.429237365722656,"(40.429237, -3.6375711)"
1503,FUE_04-20_0000000110,ZV,SAN BLAS,PARQUE PARAISO,"AV ARCENTALES Nº 4, JUNTO A AUDITORIO",447225.57,4475667.98,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6221773624420166,40.42997741699219,"(40.429977, -3.6221774)"
1500,FUE_04-20_0000000107,ZV,SAN BLAS,AVDA. DE ARCENTALES - MIGUEL YUSTE,"C/ DE MIGUEL YUSTE, 51","447294,55","4476052,422",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.621396064758301,40.43344497680664,"(40.433445, -3.6213961)"
1091,FUE_04-15_0000000123,ZV,CIUDAD LINEAL,PARQUE EL CALERO,JUNTO ÁREA CANINA,444726.65,4476271.89,ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.651688814163208,40.43525314331055,"(40.435253, -3.6516888)"
255,FUE_02-05_0000000076,VP,CHAMARTIN,CALLE CORAZÓN DE MARÍA,FRENTE AL Nº 9,"443202,28","4476968,4",ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.66972279548645,40.44142532348633,"(40.441425, -3.6697228)"
