id_OSM,lat_OSM,lon_OSM,coord_OSM,distance
1252641373,40.4748551,-3.6486894,"(40.474855099999999, -3.6486893999999999)",13486.344823692372
1443235073,40.4490681,-3.7287216,"(40.449068099999998, -3.7287216000000001)",10905.994728439344
2133152102,40.4036915,-3.7527988,"(40.403691500000001, -3.7527987999999999)",15092.926789186871
2133152105,40.4046315,-3.7513842,"(40.404631500000001, -3.7513841999999999)",15012.756657720105
2631199031,40.4038644,-3.7562714,"(40.403864400000003, -3.7562714000000001)",15022.764791094478
2757304258,40.4384713,-3.6551845,"(40.438471300000003, -3.6551844999999998)",15553.953168156764
2764886667,40.4401021,-3.6550956,"(40.440102099999997, -3.6550956000000001)",15431.866645420181
2764886684,40.439174,-3.655041,"(40.439174000000001, -3.6550410000000002)",15507.538409903578
2764886876,40.4392548,-3.6546673,"(40.439254800000001, -3.6546672999999998)",15523.755891914318
2798480992,40.4395474,-3.6549232,"(40.439547400000002, -3.6549231999999998)",15485.490162206272
2798481168,40.4392256,-3.6555999,"(40.4392256, -3.6555998999999999)",15469.87188558244
2798540104,40.4387827,-3.6545659,"(40.438782699999997, -3.6545659000000001)",15566.737639597886
2800602924,40.4380767,-3.653931,"(40.438076700000003, -3.653931)",15660.172831889855
2803101536,40.4380724,-3.6537713,"(40.438072400000003, -3.6537712999999998)",15670.11768922193
2803215906,40.4381268,-3.6538094,"(40.438126799999999, -3.6538094000000001)",15663.569538352553
2821472421,40.4386981,-3.6526905,"(40.438698100000003, -3.6526904999999998)",15686.63103703061
2835692882,40.4379647,-3.6531244,"(40.437964700000002, -3.6531243999999998)",15717.503017899779
3136517517,40.3491933,-3.711472,"(40.349193300000003, -3.7114720000000001)",21818.553640683054
3273214343,40.4703879,-3.711888,"(40.470387899999999, -3.7118880000000001)",9687.311881530191
3285505466,40.4052779,-3.7032136,"(40.405277900000002, -3.7032136000000002)",16231.297190949184
3285505468,40.4098655,-3.7035863,"(40.409865500000002, -3.7035863)",15757.951813427793
3285505476,40.4055209,-3.70294,"(40.405520899999999, -3.7029399999999999)",16216.850974372652
3353540087,40.5079623,-3.7705013,"(40.507962300000003, -3.7705012999999998)",3479.8056267737593
3353540089,40.5141652,-3.7748453,"(40.514165200000001, -3.7748453)",2704.801542436768
3353540091,40.5145044,-3.7755729,"(40.5145044, -3.7755728999999998)",2649.037633174539
3428590044,40.4099229,-3.7036194,"(40.409922899999998, -3.7036194)",15750.985129749652
3786662084,40.4665284,-3.71855,"(40.466528400000001, -3.71855)",9679.630597923247
3786662100,40.4666537,-3.7182889,"(40.466653700000002, -3.7182889000000001)",9681.293545175875
3908009018,40.4035759,-3.7082863,"(40.4035759, -3.7082863000000001)",16224.835798646556
3960252701,40.4726023,-3.699358,"(40.472602299999998, -3.6993580000000001)",10226.285954651577
