CODIGO,ZONA VERDE / VIA PUBLICA,DISTRITO,DIRECCION,COMPLEMENTO DE DIRECCI”N,X_ETRS89,Y_ETRS89,SISTEMA DE COORDENADAS,ESTADO,OBSERVACIONES,FECHA DATOS,LONGITUD,LATITUD,id_OSM,lat_OSM,lon_OSM,coord_OSM,name_OSM,score_OSM,coord
FB_000007,ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA URBANA,"FUENTE DEL PUENTE DE LA CULEBRA, ARROYO MEAQUES",434516.366,4472660.398,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7716896533966064,40.401981353759766,node/1052390738,40.401942,-3.7717144,"(40.401941999999998, -3.7717144)",,4.853149704328381,"(40.401941999999998, -3.7717144)"
FUE_05-19_0000000111,ZV,VICÁLVARO,PLAZA  ANTONIO ANDRÉS JUNTA MUNICIPAL,,448583.7598,4472557.782,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.60591459274292,40.402042388916016,node/3745137251,40.4020222,-3.6058816,"(40.402022199999998, -3.6058816)",,3.5849238063858606,"(40.402022199999998, -3.6058816)"
FUE_02-02_0000000009,ZV,ARGANZUELA,PZA. LUCA DE TENA,PZA  LUCA DE TENA N º2,441149.1029,4472614.311,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.693527936935425,40.40205764770508,node/3519204115,40.4020093,-3.6935836,"(40.402009300000003, -3.6935836000000002)",,7.151654902045854,"(40.402009300000003, -3.6935836000000002)"
FUE_02-03_0000000011,ZV,RETIRO,PARQUE MARTIN LUTHER KING,C/ARREGUI Y ARUEJ  24,443306.1855,4472675.612,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6681149005889893,40.40275955200195,node/3643291471,40.402811,-3.6682853,"(40.402811, -3.6682853)",,15.525780750179981,"(40.402811, -3.6682853)"
FUE_02-02_0000000012,ZV,ARGANZUELA,ANTIGUA ESTACION SUR,C/PALOS DE LA FRONTERA Nº 29 ,441049.3744,4472708.743,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.694711685180664,40.40290451049805,node/3519204120,40.4027643,-3.6947126,"(40.402764300000001, -3.6947125999999999)",,15.595281143275093,"(40.402764300000001, -3.6947125999999999)"
FUE_02-03_0000000021,ZV,RETIRO,STA. SABINA - DR. ESQUERDO,C/SANTA SABINA Nº 6,443110.9647,4472923.757,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6704375743865967,40.40498352050781,node/3100182024,40.4050503,-3.6703853,"(40.405050299999999, -3.6703853)",,8.64709328449938,"(40.405050299999999, -3.6703853)"
FB_900015,ZV,LATINA,MADRID RIO,Z.09. - SALON DE PINOS - PUENTE DE SEGOVIA,438633.9,4472963.8,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7231996059417725,40.405025482177734,node/1284090035,40.405036,-3.7230677,"(40.405036000000003, -3.7230677000000001)",,11.23308409631167,"(40.405036000000003, -3.7230677000000001)"
FUE_02-03_0000000042,VP,RETIRO,CAVANILLES Nº 46 PASAJE,CAVANILLES CV CALLE ABTAO,442748.431,4472936.672,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.674710750579834,40.40507507324219,node/2500990740,40.4050934,-3.6746206,"(40.405093399999998, -3.6746205999999999)",,7.90286536600881,"(40.405093399999998, -3.6746205999999999)"
FUE_05-14_0000000091,ZV,MORATALAZ,PARQUE  MARTALA CALLE MOLINA DE SEGURA,,445851.2808,4473108.671,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.638160467147827,40.40683364868164,node/3005075417,40.4068414,-3.6381965,"(40.406841399999998, -3.6381964999999998)",,3.171226895336619,"(40.406841399999998, -3.6381964999999998)"
FUE_05-19_0000000092,ZV,VICÁLVARO,PARQUE DE LA CATALANA,,449872.6298,4473147.101,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.590773105621338,40.40742874145508,node/3776287075,40.4073802,-3.5907803,"(40.407380199999999, -3.5907803)",,5.433358118119613,"(40.407380199999999, -3.5907803)"
FUE_02-03_0000000013,ZV,RETIRO,JARDINES CONDE CARTAGENA - ABTAO,C/ CONDE DE CARTAGENA 16,442783.5549,4473222.373,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6743226051330566,40.407649993896484,node/2494897762,40.4076385,-3.674152,"(40.407638499999997, -3.6741519999999999)",,14.505580438583527,"(40.407638499999997, -3.6741519999999999)"
FUE_03-10_0000000039,ZV,LATINA,Z.A. PARQUE CARAMUEL,CALLE CARAMUEL Nº 58,438101.7953,4473275.841,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7295002937316895,40.407798767089844,node/1464142398,40.4078603,-3.7295561,"(40.407860300000003, -3.7295560999999999)",,8.317471458735753,"(40.407860300000003, -3.7295560999999999)"
FB_000009,ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA URBANA,FUENTE DEL PARKING DEL ZOO (BOYS SCOUTS),435455.1062,4473369.867,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.760699987411499,40.408443450927734,node/4332121992,40.4083416,-3.7610095,"(40.4083416, -3.7610095000000001)",,28.5565548845218,"(40.4083416, -3.7610095000000001)"
FB_000019,ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 5 · ENCINAR,442420.89,4473318.61,ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,DEFICIENCIA ESTRUCTURAL,3-nov.-17,-3.678605318069458,40.40849304199219,node/2495409183,40.408512,-3.6787212,"(40.408512000000002, -3.6787212)",,10.038280025369177,"(40.408512000000002, -3.6787212)"
FUE_05-14_0000000090,ZV,MORATALAZ,PARQUE  MARTALA CALLE MOLINA DE SEGURA,,445778.0333,4473303.398,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.639040470123291,40.4085807800293,node/3005075470,40.4086259,-3.6390841,"(40.408625899999997, -3.6390840999999998)",,6.232130132153516,"(40.408625899999997, -3.6390840999999998)"
FB_000018,ZV,RETIRO,JARDINES DEL BUEN RETIRO,A. 17 · ÁREA CANINA,442256.56,4473420.36,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.680551052093506,40.40939712524414,node/4331358252,40.4093851,-3.6804806,"(40.409385100000002, -3.6804806000000001)",,6.114750833329655,"(40.409385100000002, -3.6804806000000001)"
FB_000011,ZV,MONCLOA-ARAVACA,CASA DE CAMPO ZONA URBANA,FUENTE DEL PARKING DEL ZOO (JUNTO PARADA AUTOBUS),435481.3259,4473502.352,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.760404348373413,40.40964126586914,node/1340025658,40.4096524,-3.7603673,"(40.409652399999999, -3.7603673)",,3.373213312198413,"(40.409652399999999, -3.7603673)"
FUE_01-01_0000000012,ZV,CENTRO,PARQUE DE LA CORNISA,PARQUE DE LA CORNISA,439304.7466,4473492.437,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.7153449058532715,40.40983963012695,node/2494901875,40.4098572,-3.7152829,"(40.409857199999998, -3.7152829000000001)",,5.603155113592486,"(40.409857199999998, -3.7152829000000001)"
FUE_05-14_0000000094,ZV,MORATALAZ,CALLE DE LITUANIA,,443924.5914,4473459.024,ETRS89 / UTM  Zona 30N,EN SERVICIO,,3-nov.-17,-3.6608967781066895,40.40986251831055,node/4127645075,40.4098195,-3.6609597,"(40.409819499999998, -3.6609596999999998)",,7.161782535298673,"(40.409819499999998, -3.6609596999999998)"
FUE_05-14_0000000067,ZV,MORATALAZ,PARQUE NORTE ENTRE CALLE FLORENCIO CANO Y CALLE FOBOS JUNTO A ZONA INFANTIL,,446274.1523,4473488.611,ETRS89 / UTM  Zona 30N,FUERA DE SERVICIO,VANDALISMO REITERADO,3-nov.-17,-3.633209228515625,40.410282135009766,node/3014927905,40.4102173,-3.6332127,"(40.410217299999999, -3.6332127000000001)",,7.2173459324173805,"(40.410217299999999, -3.6332127000000001)"
