id_OSM,latitude,longitude,coordinates,bot,close
2946159114,40.411395899999995,-3.6970807,"(40.411395900000002, -3.6970806999999999)",fuente,113.44835120457032
1623075032,40.4108251,-3.6936062999999995,"(40.410825099999997, -3.6936062999999999)",banco,195.4262687853779
2946159113,40.4093777,-3.6959400999999996,"(40.4093777, -3.6959401000000001)",fuente,234.7409095842982
167302670,40.413707,-3.6957227999999995,"(40.413707000000002, -3.6957228)",fuente,247.37499427739414
3657652927,40.412754799999995,-3.6932535000000004,"(40.412754800000002, -3.6932535)",fuente,254.1000649332758
3428424997,40.4109289,-3.6927015,"(40.410928900000002, -3.6927015000000001)",banco,265.09898064948226
3428424996,40.4105797,-3.6926018,"(40.4105797, -3.6926017999999998)",banco,284.60364502559696
3428424995,40.4102615,-3.6925125,"(40.410261499999997, -3.6925124999999999)",banco,305.6938946490356
3428424994,40.4099691,-3.6924214999999996,"(40.409969099999998, -3.6924215)",banco,328.06142591590054
559824976,40.4124046,-3.6913919,"(40.412404600000002, -3.6913919000000002)",fuente,382.7228595880398
991793741,40.4100963,-3.6908892,"(40.410096299999999, -3.6908892)",fuente,439.28716444774966
3170272294,40.412063700000004,-3.6897489,"(40.412063699999997, -3.6897489000000001)",fuente,511.97436090333713
3285505470,40.410012200000004,-3.7033611000000004,"(40.410012199999997, -3.7033611)",fuente,665.3442968973736
3666922935,40.409757299999995,-3.7033147000000004,"(40.409757300000003, -3.7033147)",banco,669.1124404973103
3666922938,40.409774799999994,-3.7033257000000006,"(40.409774800000001, -3.7033257000000002)",banco,669.449822846751
